Age,AWL,Preferred,Advantage,Preferred Deluxe,Advantage Deluxe,Preferred Classic,Advantage Classic
1,300,219,41,739,239,348,108
19,300,230,64,774,237,357,112
21,300,249,58,823,261,342,112
26,300,267,58,875,261,376,112
31,300,360,100,976,276,394,120
36,300,373,125,1028,276,446,131
41,600,800,223,1490,303,585,200
46,600,1009,251,1626,458,874,216
51,600,1320,394,2629,617,1381,261
56,600,1687,436,3572,721,1643,278
61,600,2262,702,5158,997,2384,410
66,600,3148,1075,6994,1320,3188,563
71,900,4132,1533,8527,1649,4389,747
74,900,4719,1807,9445,1945,4919,894
76,900,5318,2200,10791,2083,5641,1044
79,900,5990,2595,11346,2389,6738,1152
81,900,6296,2638,12221,2641,6851,1264
84,900,7151,3012,12590,2983,7144,1334
86,900,7836,3467,12828,3151,7735,1620